s0,s1,s2,action,reward,s0_next,s1_next,s2_next,done
10,9,10,26,1.000000,10,9,10,0
0,0,0,4,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
10,9,10,20,13.142136,10,9,10,0
0,0,0,26,10.000000,0,0,0,1
10,9,10,26,13.142136,10,9,10,0
10,8,10,26,-1.000000,10,8,10,0
0,0,0,21,-12.142136,0,0,0,0
0,0,0,26,0.000000,0,0,0,0
0,0,0,6,0.000000,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
0,0,0,26,-2.828427,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,2,2,26,-0.078326,0,2,2,0
1,3,3,26,1.404494,1,3,3,0
0,3,3,7,-0.804801,0,3,3,0
0,0,0,12,-1.935580,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,0,1,2,0.688512,1,0,1,0
2,1,2,26,1.412030,2,1,2,0
0,0,0,7,-2.100541,0,0,0,0
1,1,1,1,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
3,2,1,26,0.683563,3,2,1,0
4,3,2,26,1.410601,4,3,2,0
3,4,1,26,0.000000,3,4,1,0
4,5,2,17,1.409295,4,5,2,0
5,6,3,26,1.407125,5,6,3,0
6,7,4,26,1.403124,6,7,4,0
7,8,5,26,1.394449,7,8,5,0
8,9,6,25,1.369483,8,9,6,0
9,10,7,26,1.236068,9,10,7,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
9,10,9,0,13.142136,9,10,9,0
9,10,8,26,0.000000,9,10,8,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
9,9,10,23,12.727922,9,9,10,0
0,0,0,3,10.000000,0,0,0,1
9,10,10,26,13.142136,9,10,10,0
8,9,10,26,-1.236068,8,9,10,0
9,10,10,26,1.236068,9,10,10,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,10,10.000000,0,0,0,1
0,0,0,24,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,0.000000,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,14,-1.414214,0,0,0,0
0,0,0,26,0.000000,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
0,0,0,21,-2.828427,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,0,1,26,0.688512,1,0,1,0
0,0,0,26,-0.688512,0,0,0,0
0,0,0,11,0.000000,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
3,3,3,26,1.414214,3,3,3,0
4,4,4,26,1.414214,4,4,4,0
0,0,0,19,-5.656854,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,15,1.414214,1,1,1,0
0,0,0,11,-1.414214,0,0,0,0
1,1,1,17,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,23,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,25,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
0,0,0,17,0.000000,0,0,0,0
0,0,0,26,0.000000,0,0,0,0
1,1,0,26,1.414214,1,1,0,0
0,0,0,15,-1.414214,0,0,0,0
